action_id,disruption_id,action_type,supplier_id,component_id,factory_id,route_id,source_location,destination_location,available_capacity,action_cost,time_saved_days,risk_score,implementation_time,success_probability,feasible
A004222,D002815,Increase_Production,,,F004,,,,1339,14829.48,4,0.05,8,0.95,True
A004223,D002815,Reschedule_Production,,,F004,,,,5504,1977.26,4,0.05,8,0.95,True
A004224,D002816,Expedite_Shipment,,,F004,R0081,S041,F004,10000,73.43,2,0.05,2,0.95,True
A004225,D002817,Switch_Supplier,S030,C030,F005,,S030,F005,10000,118680.35,0,0.2118,26,0.7882,False
A004226,D002817,Use_Backup_Inventory,,C046,F005,R0846,W023,W024,2963,6475.02,9,0.05,1,0.95,False
A004227,D002818,Reallocate_Inventory,,C122,F005,R0804,W002,W003,10000,1054.3,6,0.05,1,0.95,True
A004228,D002819,Increase_Production,,,F005,,,,1596,154410.24,4,0.05,8,0.95,False
A004229,D002819,Reschedule_Production,,,F005,,,,7252,20588.03,4,0.05,8,0.95,True
A004230,D002820,Expedite_Shipment,,,F005,R0056,S028,F005,10000,165.61,6,0.05,7,0.95,True
A004231,D002821,Switch_Supplier,S027,C027,F006,,S027,F006,10000,29616.4,0,0.0282,24,0.9718,False
A004232,D002821,Use_Backup_Inventory,,C102,F006,R0888,W015,W017,10000,1303.85,11,0.05,1,0.95,True
A004233,D002822,Reallocate_Inventory,,C252,F006,R0828,W014,W015,10000,1101.04,9,0.05,1,0.95,True
A004234,D002823,Increase_Production,,,F006,,,,997,75388.49,3,0.05,5,0.95,False
A004235,D002823,Reschedule_Production,,,F006,,,,1550,10051.8,3,0.05,5,0.95,False
A004236,D002824,Expedite_Shipment,,,F006,R0182,S091,F006,10000,508.19,1,0.05,2,0.95,True
A004237,D002825,Switch_Supplier,S024,C024,F007,,S024,F007,10000,17036.35,0,0.1204,7,0.8796,False
A004238,D002825,Use_Backup_Inventory,,C395,F007,R0933,W013,W006,5700,343.63,3,0.05,3,0.95,True
A004239,D002826,Reallocate_Inventory,,C364,F007,R0819,W010,W011,10000,483.59,3,0.05,1,0.95,True
A004240,D002827,Increase_Production,,,F007,,,,3108,25812.75,4,0.05,6,0.95,True
A004241,D002827,Reschedule_Production,,,F007,,,,3061,3441.7,4,0.05,6,0.95,True
A004242,D002828,Expedite_Shipment,,,F007,R0190,S095,F007,10000,62.62,7,0.05,7,0.95,True
A004243,D002829,Switch_Supplier,S001,C001,F008,,S001,F008,10000,4079.0,0,0.2032,18,0.7968,False
A004244,D002829,Use_Backup_Inventory,,C378,F008,R0842,W021,W022,10000,1648.78,11,0.05,1,0.95,True
A004245,D002830,Reallocate_Inventory,,C178,F008,R0858,W029,W030,10000,3262.98,1,0.05,1,0.95,True
A004246,D002831,Increase_Production,,,F008,,,,1764,11250.62,3,0.05,5,0.95,True
A004247,D002831,Reschedule_Production,,,F008,,,,4153,1500.08,3,0.05,5,0.95,True
A004248,D002832,Expedite_Shipment,,,F008,R0155,S078,F008,10000,192.34,2,0.05,2,0.95,True
A004249,D002833,Switch_Supplier,S001,C001,F009,,S001,F009,10000,1722.0,0,0.2032,18,0.7968,False
A004250,D002833,Use_Backup_Inventory,,C231,F009,R0843,W022,W023,8209,379.52,3,0.05,3,0.95,True
A004251,D002834,Reallocate_Inventory,,C383,F009,R0987,W023,W030,8423,1867.93,5,0.05,5,0.95,True
A004252,D002835,Increase_Production,,,F009,,,,2040,134945.76,5,0.05,9,0.95,False
A004253,D002835,Reschedule_Production,,,F009,,,,1429,17992.77,5,0.05,9,0.95,False
A004254,D002836,Expedite_Shipment,,,F009,R0129,S065,F009,10000,137.3,6,0.05,6,0.95,True
A004255,D002837,Switch_Supplier,S045,C045,F010,,S045,F010,10000,38563.2,0,0.1807,5,0.8193,False
A004256,D002837,Use_Backup_Inventory,,C444,F010,R0959,W025,W024,4285,241.03,1,0.05,2,0.95,True
A004257,D002838,Reallocate_Inventory,,C043,F010,R0912,W014,W020,10000,1731.5,8,0.05,1,0.95,True
A004258,D002839,Increase_Production,,,F010,,,,576,49883.85,3,0.05,5,0.95,False
A004259,D002839,Reschedule_Production,,,F010,,,,545,6651.18,3,0.05,5,0.95,False
A004260,D002840,Expedite_Shipment,,,F010,R0070,S035,F010,10000,74.04,1,0.05,2,0.95,True
A004261,D002841,Switch_Supplier,S028,C028,F011,,S028,F011,10000,15556.45,0,0.0521,22,0.9479,False
A004262,D002841,Use_Backup_Inventory,,C122,F011,R0808,W004,W005,10000,349.27,9,0.05,1,0.95,True
A004263,D002842,Reallocate_Inventory,,C186,F011,R0956,W006,W011,5194,2365.96,8,0.05,1,0.95,False
A004264,D002843,Increase_Production,,,F011,,,,2070,54613.44,2,0.05,4,0.95,True
A004265,D002843,Reschedule_Production,,,F011,,,,1636,7281.79,2,0.05,4,0.95,True
A004266,D002844,Expedite_Shipment,,,F011,R0041,S021,F011,10000,112.21,1,0.05,1,0.95,True
A004267,D002845,Switch_Supplier,S004,C004,F012,,S004,F012,10000,2937.5,0,0.0608,27,0.9392,False
A004268,D002845,Use_Backup_Inventory,,C199,F012,R0841,W021,W022,10000,234.68,4,0.05,2,0.95,True
A004269,D002846,Reallocate_Inventory,,C492,F012,R0829,W015,W016,10000,187.74,7,0.05,2,0.95,True
A004270,D002847,Increase_Production,,,F012,,,,4448,50613.45,2,0.05,5,0.95,True
A004271,D002847,Reschedule_Production,,,F012,,,,6649,6748.46,2,0.05,5,0.95,True
A004272,D002848,Expedite_Shipment,,,F012,R0184,S092,F012,10000,122.7,6,0.05,7,0.95,True
A004273,D002849,Switch_Supplier,S006,C006,F013,,S006,F013,10000,6389.5,8,0.0352,3,0.9648,True
A004274,D002849,Use_Backup_Inventory,,C173,F013,R0989,W024,W001,10000,192.61,10,0.05,1,0.95,True
A004275,D002850,Reallocate_Inventory,,C248,F013,R0919,W013,W009,4467,130.21,3,0.05,1,0.95,True
A004276,D002851,Increase_Production,,,F013,,,,740,8787.72,3,0.05,5,0.95,True
A004277,D002851,Reschedule_Production,,,F013,,,,663,1171.7,3,0.05,5,0.95,True
A004278,D002852,Expedite_Shipment,,,F013,R0110,S055,F013,10000,287.23,5,0.05,5,0.95,True
A004279,D002853,Switch_Supplier,S050,C050,F014,,S050,F014,10000,59261.55,1,0.3596,3,0.6404,True
A004280,D002853,Use_Backup_Inventory,,C023,F014,R0848,W024,W025,3214,704.9,3,0.05,1,0.95,True
A004281,D002854,Reallocate_Inventory,,C023,F014,R0847,W024,W025,3214,147.04,12,0.05,2,0.95,True
A004282,D002855,Increase_Production,,,F014,,,,1291,30130.52,4,0.05,6,0.95,True
A004283,D002855,Reschedule_Production,,,F014,,,,1280,4017.4,4,0.05,6,0.95,True
A004284,D002856,Expedite_Shipment,,,F014,R0053,S027,F014,10000,438.76,4,0.05,5,0.95,True
A004285,D002857,Switch_Supplier,S076,C076,F015,,S076,F015,10000,48546.75,3,0.1525,5,0.8475,True
A004286,D002857,Use_Backup_Inventory,,C290,F015,R0848,W024,W025,3552,1061.67,7,0.05,1,0.95,False
A004287,D002858,Reallocate_Inventory,,C140,F015,R0853,W027,W028,10000,579.5,4,0.05,4,0.95,True
A004288,D002859,Increase_Production,,,F015,,,,4725,115620.36,4,0.05,8,0.95,True
A004289,D002859,Reschedule_Production,,,F015,,,,3209,15416.05,4,0.05,8,0.95,False
A004290,D002860,Expedite_Shipment,,,F015,R0077,S039,F015,10000,206.08,3,0.05,3,0.95,True
A004291,D002861,Switch_Supplier,S029,C029,F016,,S029,F016,10000,4460.8,0,0.1237,17,0.8763,False
A004292,D002861,Use_Backup_Inventory,,C075,F016,R0834,W017,W018,4788,340.86,9,0.05,1,0.95,True
A004293,D002862,Reallocate_Inventory,,C425,F016,R0945,W011,W005,10000,290.3,0,0.05,2,0.95,False
A004294,D002863,Increase_Production,,,F016,,,,2440,31808.7,3,0.05,5,0.95,True
A004295,D002863,Reschedule_Production,,,F016,,,,6402,4241.16,3,0.05,5,0.95,True
A004296,D002864,Expedite_Shipment,,,F016,R0065,S033,F016,10000,173.71,3,0.05,3,0.95,True
A004297,D002865,Switch_Supplier,S076,C076,F017,,S076,F017,10000,37913.75,1,0.1525,5,0.8475,True
A004298,D002865,Use_Backup_Inventory,,C290,F017,R0853,W027,W028,3541,829.07,2,0.05,4,0.95,True
A004299,D002866,Reallocate_Inventory,,C359,F017,R0980,W005,W001,10000,759.44,4,0.05,1,0.95,True
A004300,D002867,Increase_Production,,,F017,,,,1638,12075.98,1,0.05,2,0.95,True
A004301,D002867,Reschedule_Production,,,F017,,,,5279,1610.13,1,0.05,2,0.95,True
A004302,D002868,Expedite_Shipment,,,F017,R0082,S041,F017,10000,760.18,7,0.05,7,0.95,True
A004303,D002869,Switch_Supplier,S030,C030,F018,,S030,F018,10000,2852.15,0,0.2118,26,0.7882,False
A004304,D002869,Use_Backup_Inventory,,C360,F018,R0814,W007,W008,10000,253.71,7,0.05,1,0.95,True
A004305,D002870,Reallocate_Inventory,,C360,F018,R0812,W006,W007,10000,1540.46,4,0.05,1,0.95,True
A004306,D002871,Increase_Production,,,F018,,,,373,46515.42,4,0.05,6,0.95,False
A004307,D002871,Reschedule_Production,,,F018,,,,1631,6202.06,4,0.05,6,0.95,True
A004308,D002872,Expedite_Shipment,,,F018,R0156,S078,F018,10000,145.9,1,0.05,2,0.95,True
A004309,D002873,Switch_Supplier,S007,C007,F019,,S007,F019,10000,7015.2,0,0.137,17,0.863,False
A004310,D002873,Use_Backup_Inventory,,C357,F019,R0854,W027,W028,10000,1434.38,10,0.05,1,0.95,True
A004311,D002874,Reallocate_Inventory,,C132,F019,R0827,W014,W015,10000,109.21,7,0.05,2,0.95,True
A004312,D002875,Increase_Production,,,F019,,,,720,120202.17,5,0.05,8,0.95,False
A004313,D002875,Reschedule_Production,,,F019,,,,1833,16026.96,5,0.05,8,0.95,False
A004314,D002876,Expedite_Shipment,,,F019,R0113,S057,F019,10000,485.2,5,0.05,6,0.95,True
A004315,D002877,Switch_Supplier,S023,C023,F020,,S023,F020,10000,25996.5,0,0.2929,10,0.7071,False
A004316,D002877,Use_Backup_Inventory,,C352,F020,R0858,W029,W030,10000,1930.29,9,0.05,1,0.95,True
A004317,D002878,Reallocate_Inventory,,C394,F020,R0820,W010,W011,3192,231.31,6,0.05,1,0.95,True
A004318,D002879,Increase_Production,,,F020,,,,1152,14676.36,4,0.05,6,0.95,True
A004319,D002879,Reschedule_Production,,,F020,,,,1985,1956.85,4,0.05,6,0.95,True
A004320,D002880,Expedite_Shipment,,,F020,R0162,S081,F020,10000,67.1,6,0.05,7,0.95,True
A004321,D002881,Switch_Supplier,S029,C029,F001,,S029,F001,10000,33850.4,0,0.1237,17,0.8763,False
A004322,D002881,Use_Backup_Inventory,,C030,F001,R0867,W003,W002,3754,523.49,7,0.05,3,0.95,True
A004323,D002882,Reallocate_Inventory,,C030,F001,R0806,W003,W004,3754,214.38,8,0.05,1,0.95,True
A004324,D002883,Increase_Production,,,F001,,,,564,65124.84,2,0.05,5,0.95,False
A004325,D002883,Reschedule_Production,,,F001,,,,973,8683.31,2,0.05,5,0.95,False
A004326,D002884,Expedite_Shipment,,,F001,R0124,S062,F001,10000,135.38,3,0.05,4,0.95,True
A004327,D002885,Switch_Supplier,S014,C014,F002,,S014,F002,10000,12514.95,4,0.1577,4,0.8423,True
A004328,D002885,Use_Backup_Inventory,,C136,F002,R0844,W022,W023,6627,1013.59,7,0.05,1,0.95,True
A004329,D002886,Reallocate_Inventory,,C249,F002,R0820,W010,W011,10000,421.08,4,0.05,1,0.95,True
A004330,D002887,Increase_Production,,,F002,,,,2000,33864.93,4,0.05,8,0.95,False
A004331,D002887,Reschedule_Production,,,F002,,,,1953,4515.32,4,0.05,8,0.95,False
A004332,D002888,Expedite_Shipment,,,F002,R0098,S049,F002,10000,138.29,7,0.05,7,0.95,True
A004333,D002889,Switch_Supplier,S014,C014,F003,,S014,F003,10000,38668.25,10,0.1577,4,0.8423,True
A004334,D002889,Use_Backup_Inventory,,C156,F003,R0814,W007,W008,10000,4049.51,13,0.05,1,0.95,True
A004335,D002890,Reallocate_Inventory,,C175,F003,R0875,W027,W001,6050,1311.47,0,0.05,4,0.95,False
A004336,D002891,Increase_Production,,,F003,,,,2822,197513.58,2,0.05,5,0.95,False
A004337,D002891,Reschedule_Production,,,F003,,,,5361,26335.14,2,0.05,5,0.95,True
A004338,D002892,Expedite_Shipment,,,F003,R0015,S008,F003,10000,675.93,4,0.05,5,0.95,True
A004339,D002893,Switch_Supplier,S013,C013,F004,,S013,F004,10000,7846.4,0,0.2748,15,0.7252,False
A004340,D002893,Use_Backup_Inventory,,C147,F004,R0867,W003,W002,10000,286.42,0,0.05,3,0.95,False
A004341,D002894,Reallocate_Inventory,,C206,F004,R0803,W002,W003,10000,1119.81,0,0.05,3,0.95,False
A004342,D002895,Increase_Production,,,F004,,,,1339,72553.41,3,0.05,5,0.95,False
A004343,D002895,Reschedule_Production,,,F004,,,,5504,9673.79,3,0.05,5,0.95,True
A004344,D002896,Expedite_Shipment,,,F004,R0138,S069,F004,10000,905.07,7,0.05,7,0.95,True
A004345,D002897,Switch_Supplier,S024,C024,F005,,S024,F005,10000,17138.5,0,0.1204,7,0.8796,False
A004346,D002897,Use_Backup_Inventory,,C262,F005,R0855,W028,W029,6742,207.97,1,0.05,2,0.95,True
A004347,D002898,Reallocate_Inventory,,C270,F005,R0805,W003,W004,7581,1050.87,0,0.05,4,0.95,False
A004348,D002899,Increase_Production,,,F005,,,,1596,33862.56,4,0.05,8,0.95,True
A004349,D002899,Reschedule_Production,,,F005,,,,7252,4515.01,4,0.05,8,0.95,True
A004350,D002900,Expedite_Shipment,,,F005,R0123,S062,F005,10000,91.43,5,0.05,5,0.95,True
A004351,D002901,Switch_Supplier,S023,C023,F006,,S023,F006,10000,12153.5,0,0.2929,10,0.7071,False
A004352,D002901,Use_Backup_Inventory,,C072,F006,R0831,W016,W017,10000,338.05,6,0.05,4,0.95,True
A004353,D002902,Reallocate_Inventory,,C372,F006,R0831,W016,W017,10000,302.94,10,0.05,4,0.95,True
A004354,D002903,Increase_Production,,,F006,,,,997,31790.33,1,0.05,2,0.95,True
A004355,D002903,Reschedule_Production,,,F006,,,,1550,4238.71,1,0.05,2,0.95,True
A004356,D002904,Expedite_Shipment,,,F006,R0195,S098,F006,10000,159.39,3,0.05,4,0.95,True
A004357,D002905,Switch_Supplier,S013,C013,F007,,S013,F007,10000,4768.0,0,0.2748,15,0.7252,False
A004358,D002905,Use_Backup_Inventory,,C384,F007,R0802,W001,W002,9492,354.93,11,0.05,1,0.95,True
A004359,D002906,Reallocate_Inventory,,C095,F007,R0910,W008,W011,10000,3583.34,5,0.05,1,0.95,True
A004360,D002907,Increase_Production,,,F007,,,,3108,57804.3,3,0.05,5,0.95,True
A004361,D002907,Reschedule_Production,,,F007,,,,3061,7707.24,3,0.05,5,0.95,True
A004362,D002908,Expedite_Shipment,,,F007,R0181,S091,F007,10000,77.43,4,0.05,5,0.95,True
A004363,D002909,Switch_Supplier,S023,C023,F008,,S023,F008,10000,31413.8,0,0.2929,10,0.7071,False
A004364,D002909,Use_Backup_Inventory,,C095,F008,R0812,W006,W007,10000,2068.66,3,0.05,1,0.95,True
A004365,D002910,Reallocate_Inventory,,C296,F008,R0868,W003,W002,10000,394.26,11,0.05,1,0.95,True
A004366,D002911,Increase_Production,,,F008,,,,1764,30634.92,3,0.05,6,0.95,True
A004367,D002911,Reschedule_Production,,,F008,,,,4153,4084.66,3,0.05,6,0.95,True
A004368,D002912,Expedite_Shipment,,,F008,R0189,S095,F008,10000,270.02,6,0.05,6,0.95,True
A004369,D002913,Switch_Supplier,S022,C022,F009,,S022,F009,10000,31329.1,0,0.2281,16,0.7719,False
A004370,D002913,Use_Backup_Inventory,,C365,F009,R0812,W006,W007,7612,2147.52,8,0.05,1,0.95,True
A004371,D002914,Reallocate_Inventory,,C365,F009,R0822,W011,W012,7822,2468.45,10,0.05,1,0.95,True
A004372,D002915,Increase_Production,,,F009,,,,2040,29067.36,5,0.05,9,0.95,True
A004373,D002915,Reschedule_Production,,,F009,,,,1429,3875.65,5,0.05,9,0.95,False
A004374,D002916,Expedite_Shipment,,,F009,R0004,S002,F009,10000,143.72,2,0.05,2,0.95,True
A004375,D002917,Switch_Supplier,S023,C023,F010,,S023,F010,10000,71656.6,0,0.2929,10,0.7071,False
A004376,D002917,Use_Backup_Inventory,,C200,F010,R0959,W025,W024,6803,769.2,8,0.05,2,0.95,True
A004377,D002918,Reallocate_Inventory,,C276,F010,R0939,W011,W013,10000,1150.71,0,0.05,4,0.95,False
A004378,D002919,Increase_Production,,,F010,,,,576,94148.78,2,0.05,5,0.95,False
A004379,D002919,Reschedule_Production,,,F010,,,,545,12553.17,2,0.05,5,0.95,False
A004380,D002920,Expedite_Shipment,,,F010,R0070,S035,F010,10000,128.01,6,0.05,7,0.95,True
A004381,D002921,Switch_Supplier,S049,C049,F011,,S049,F011,10000,93609.2,0,0.0302,16,0.9698,False
A004382,D002921,Use_Backup_Inventory,,C203,F011,R0850,W025,W026,10000,1089.94,6,0.05,1,0.95,True
A004383,D002922,Reallocate_Inventory,,C296,F011,R0801,W001,W002,10000,731.12,0,0.05,2,0.95,False
A004384,D002923,Increase_Production,,,F011,,,,2070,110743.92,5,0.05,9,0.95,True
A004385,D002923,Reschedule_Production,,,F011,,,,1636,14765.86,5,0.05,9,0.95,False
A004386,D002924,Expedite_Shipment,,,F011,R0044,S022,F011,10000,78.32,1,0.05,2,0.95,True
A004387,D002925,Switch_Supplier,S030,C030,F012,,S030,F012,10000,5746.45,0,0.2118,26,0.7882,False
A004388,D002925,Use_Backup_Inventory,,C281,F012,R0836,W018,W019,5525,156.36,12,0.05,1,0.95,True
A004389,D002926,Reallocate_Inventory,,C468,F012,R0848,W024,W025,4566,273.03,4,0.05,1,0.95,True
A004390,D002927,Increase_Production,,,F012,,,,4448,120322.58,3,0.05,5,0.95,True
A004391,D002927,Reschedule_Production,,,F012,,,,6649,16043.01,3,0.05,5,0.95,True
A004392,D002928,Expedite_Shipment,,,F012,R0027,S014,F012,10000,193.49,4,0.05,4,0.95,True
A004393,D002929,Switch_Supplier,S010,C010,F013,,S010,F013,10000,1515.0,0,0.1074,17,0.8926,False
A004394,D002929,Use_Backup_Inventory,,C347,F013,R0842,W021,W022,10000,182.15,5,0.05,1,0.95,True
A004395,D002930,Reallocate_Inventory,,C276,F013,R0816,W008,W009,10000,1452.71,8,0.05,1,0.95,True
A004396,D002931,Increase_Production,,,F013,,,,740,164802.54,3,0.05,6,0.95,False
A004397,D002931,Reschedule_Production,,,F013,,,,663,21973.67,3,0.05,6,0.95,False
A004398,D002932,Expedite_Shipment,,,F013,R0093,S047,F013,10000,444.6,2,0.05,2,0.95,True
A004399,D002933,Switch_Supplier,S001,C001,F014,,S001,F014,10000,1168.0,0,0.2032,18,0.7968,False
A004400,D002933,Use_Backup_Inventory,,C023,F014,R0853,W027,W028,3396,358.5,0,0.05,4,0.95,False
A004401,D002934,Reallocate_Inventory,,C346,F014,R0841,W021,W022,6597,249.37,8,0.05,2,0.95,True
A004402,D002935,Increase_Production,,,F014,,,,1291,12806.51,2,0.05,5,0.95,True
A004403,D002935,Reschedule_Production,,,F014,,,,1280,1707.53,2,0.05,5,0.95,True
A004404,D002936,Expedite_Shipment,,,F014,R0053,S027,F014,10000,106.43,3,0.05,4,0.95,True
A004405,D002937,Switch_Supplier,S030,C030,F015,,S030,F015,10000,59881.1,0,0.2118,26,0.7882,False
A004406,D002937,Use_Backup_Inventory,,C198,F015,R0848,W024,W025,10000,1138.3,9,0.05,1,0.95,True
A004407,D002938,Reallocate_Inventory,,C470,F015,R0959,W025,W024,7632,405.08,5,0.05,2,0.95,True
A004408,D002939,Increase_Production,,,F015,,,,4725,69390.95,4,0.05,8,0.95,True
A004409,D002939,Reschedule_Production,,,F015,,,,3209,9252.13,4,0.05,8,0.95,True
A004410,D002940,Expedite_Shipment,,,F015,R0097,S049,F015,10000,334.04,4,0.05,4,0.95,True
A004411,D002941,Switch_Supplier,S030,C030,F016,,S030,F016,10000,77289.05,0,0.2118,26,0.7882,False
A004412,D002941,Use_Backup_Inventory,,C075,F016,R0836,W018,W019,5327,1512.36,7,0.05,1,0.95,False
A004413,D002942,Reallocate_Inventory,,C356,F016,R0876,W027,W001,10000,1972.8,11,0.05,1,0.95,True
A004414,D002943,Increase_Production,,,F016,,,,2440,79157.1,2,0.05,3,0.95,True
A004415,D002943,Reschedule_Production,,,F016,,,,6402,10554.28,2,0.05,3,0.95,True
A004416,D002944,Expedite_Shipment,,,F016,R0149,S075,F016,10000,338.42,1,0.05,1,0.95,True
A004417,D002945,Switch_Supplier,S022,C022,F017,,S022,F017,10000,15100.25,0,0.2281,16,0.7719,False
A004418,D002945,Use_Backup_Inventory,,C018,F017,R0850,W025,W026,6497,409.76,9,0.05,1,0.95,True
A004419,D002946,Reallocate_Inventory,,C359,F017,R0810,W005,W006,10000,370.43,9,0.05,1,0.95,True
A004420,D002947,Increase_Production,,,F017,,,,1638,32646.68,2,0.05,5,0.95,False
A004421,D002947,Reschedule_Production,,,F017,,,,5279,4352.89,2,0.05,5,0.95,True
A004422,D002948,Expedite_Shipment,,,F017,R0118,S059,F017,10000,499.63,5,0.05,5,0.95,True
A004423,D002949,Switch_Supplier,S021,C021,F018,,S021,F018,10000,2090.0,0,0.1103,21,0.8897,False
A004424,D002949,Use_Backup_Inventory,,C148,F018,R0868,W003,W002,3793,190.19,7,0.05,1,0.95,True
A004425,D002950,Reallocate_Inventory,,C485,F018,R0945,W011,W005,8454,264.89,7,0.05,2,0.95,True
A004426,D002951,Increase_Production,,,F018,,,,373,34192.31,3,0.05,6,0.95,False
A004427,D002951,Reschedule_Production,,,F018,,,,1631,4558.97,3,0.05,6,0.95,True
A004428,D002952,Expedite_Shipment,,,F018,R0115,S058,F018,10000,115.08,2,0.05,2,0.95,True
A004429,D002953,Switch_Supplier,S029,C029,F019,,S029,F019,10000,76160.0,0,0.1237,17,0.8763,False
A004430,D002953,Use_Backup_Inventory,,C004,F019,R0909,W008,W011,10000,1170.56,9,0.05,3,0.95,True
A004431,D002954,Reallocate_Inventory,,C319,F019,R0842,W021,W022,10000,106.47,1,0.05,1,0.95,True
A004432,D002955,Increase_Production,,,F019,,,,720,18226.89,1,0.05,3,0.95,True
A004433,D002955,Reschedule_Production,,,F019,,,,1833,2430.25,1,0.05,3,0.95,True
A004434,D002956,Expedite_Shipment,,,F019,R0057,S029,F019,10000,65.54,7,0.05,7,0.95,True
A004435,D002957,Switch_Supplier,S005,C005,F020,,S005,F020,10000,722.4,8,0.219,3,0.781,True
A004436,D002957,Use_Backup_Inventory,,C177,F020,R0980,W005,W001,9667,109.65,10,0.05,1,0.95,True
A004437,D002958,Reallocate_Inventory,,C294,F020,R0848,W024,W025,10000,1761.88,9,0.05,1,0.95,True
A004438,D002959,Increase_Production,,,F020,,,,1152,104390.09,5,0.05,8,0.95,False
A004439,D002959,Reschedule_Production,,,F020,,,,1985,13918.68,5,0.05,8,0.95,False
A004440,D002960,Expedite_Shipment,,,F020,R0193,S097,F020,10000,306.48,7,0.05,7,0.95,True
A004441,D002961,Switch_Supplier,S005,C005,F001,,S005,F001,10000,11558.4,10,0.219,3,0.781,True
A004442,D002961,Use_Backup_Inventory,,C326,F001,R0801,W001,W002,6780,670.41,11,0.05,2,0.95,True
A004443,D002962,Reallocate_Inventory,,C412,F001,R0960,W025,W024,10000,537.02,1,0.05,1,0.95,True
A004444,D002963,Increase_Production,,,F001,,,,564,194339.88,0,0.05,2,0.95,False
A004445,D002963,Reschedule_Production,,,F001,,,,973,25911.98,0,0.05,2,0.95,False
A004446,D002964,Expedite_Shipment,,,F001,R0032,S016,F001,10000,129.84,2,0.05,3,0.95,True
A004447,D002965,Switch_Supplier,S014,C014,F002,,S014,F002,10000,11692.95,0,0.1577,4,0.8423,False
A004448,D002965,Use_Backup_Inventory,,C232,F002,R0846,W023,W024,10000,1404.52,1,0.05,1,0.95,True
A004449,D002966,Reallocate_Inventory,,C049,F002,R0843,W022,W023,10000,776.5,4,0.05,3,0.95,True
A004450,D002967,Increase_Production,,,F002,,,,2000,25444.32,3,0.05,5,0.95,True
A004451,D002967,Reschedule_Production,,,F002,,,,1953,3392.58,3,0.05,5,0.95,True
A004452,D002968,Expedite_Shipment,,,F002,R0001,S001,F002,10000,157.01,2,0.05,3,0.95,True
A004453,D002969,Switch_Supplier,S010,C010,F003,,S010,F003,10000,30022.25,0,0.1074,17,0.8926,False
A004454,D002969,Use_Backup_Inventory,,C031,F003,R0801,W001,W002,10000,945.5,5,0.05,2,0.95,True
A004455,D002970,Reallocate_Inventory,,C351,F003,R0855,W028,W029,10000,61.93,5,0.05,2,0.95,True
A004456,D002971,Increase_Production,,,F003,,,,2822,49061.76,1,0.05,3,0.95,True
A004457,D002971,Reschedule_Production,,,F003,,,,5361,6541.57,1,0.05,3,0.95,True
A004458,D002972,Expedite_Shipment,,,F003,R0176,S088,F003,10000,103.73,6,0.05,7,0.95,True
A004459,D002973,Switch_Supplier,S020,C020,F004,,S020,F004,10000,18593.85,0,0.0739,4,0.9261,False
A004460,D002973,Use_Backup_Inventory,,C369,F004,R0832,W016,W017,10000,1433.04,2,0.05,1,0.95,True
A004461,D002974,Reallocate_Inventory,,C018,F004,R0846,W023,W024,6825,5035.87,10,0.05,1,0.95,True
A004462,D002975,Increase_Production,,,F004,,,,1339,62129.79,4,0.05,6,0.95,False
A004463,D002975,Reschedule_Production,,,F004,,,,5504,8283.97,4,0.05,6,0.95,True
A004464,D002976,Expedite_Shipment,,,F004,R0138,S069,F004,10000,872.13,5,0.05,6,0.95,True
A004465,D002977,Switch_Supplier,S030,C030,F005,,S030,F005,10000,52181.7,0,0.2118,26,0.7882,False
A004466,D002977,Use_Backup_Inventory,,C284,F005,R0828,W014,W015,5040,998.22,2,0.05,1,0.95,True
A004467,D002978,Reallocate_Inventory,,C270,F005,R0802,W001,W002,7412,2381.33,8,0.05,1,0.95,True
A004468,D002979,Increase_Production,,,F005,,,,1596,114063.36,3,0.05,6,0.95,False
A004469,D002979,Reschedule_Production,,,F005,,,,7252,15208.45,3,0.05,6,0.95,True
A004470,D002980,Expedite_Shipment,,,F005,R0043,S022,F005,10000,419.19,5,0.05,6,0.95,True
A004471,D002981,Switch_Supplier,S010,C010,F006,,S010,F006,10000,1378.65,0,0.1074,17,0.8926,False
A004472,D002981,Use_Backup_Inventory,,C398,F006,R0958,W012,W014,5632,203.48,9,0.05,1,0.95,True
A004473,D002982,Reallocate_Inventory,,C372,F006,R0837,W019,W020,10000,89.26,0,0.05,4,0.95,False
A004474,D002983,Increase_Production,,,F006,,,,997,49239.15,0,0.05,2,0.95,False
A004475,D002983,Reschedule_Production,,,F006,,,,1550,6565.22,0,0.05,2,0.95,False
A004476,D002984,Expedite_Shipment,,,F006,R0182,S091,F006,10000,125.1,3,0.05,4,0.95,True
A004477,D002985,Switch_Supplier,S013,C013,F007,,S013,F007,10000,30976.0,0,0.2748,15,0.7252,False
A004478,D002985,Use_Backup_Inventory,,C384,F007,R0915,W002,W025,9661,640.95,11,0.05,2,0.95,True
A004479,D002986,Reallocate_Inventory,,C191,F007,R0836,W018,W019,10000,1278.01,1,0.05,1,0.95,True
A004480,D002987,Increase_Production,,,F007,,,,3108,89145.45,1,0.05,2,0.95,True
A004481,D002987,Reschedule_Production,,,F007,,,,3061,11886.06,1,0.05,2,0.95,True
A004482,D002988,Expedite_Shipment,,,F007,R0128,S064,F007,10000,178.74,2,0.05,2,0.95,True
A004483,D002989,Switch_Supplier,S023,C023,F008,,S023,F008,10000,13145.4,0,0.2929,10,0.7071,False
