component_id,component_name,category,supplier_id,unit_cost,lead_time_days,minimum_order_qty,maximum_supply,criticality_score,substitutability_score,safety_stock_units,shelf_life_days,hazardous_flag
C294,PCB Module 294,PCB,S094,20.35,15,500,10000,0.6692,0.7357,7700,365,False
C295,Display Module 295,Display,S095,20.8,15,50,10000,0.6192,0.1448,3800,365,False
C296,Connector Module 296,Connector,S096,21.25,25,100,10000,0.9689,0.5493,4400,365,False
C297,Connectivity Module 297,Connectivity,S097,21.7,23,500,10000,0.8943,0.1723,1500,1825,False
C298,Camera Module 298,Camera,S098,22.15,21,50,10000,0.6306,0.2033,1600,365,False
C299,Processor Module 299,Processor,S099,22.6,18,250,10000,0.6126,0.297,7200,1825,False
C300,Display Module 300,Display,S100,23.05,28,500,10000,0.455,0.212,4400,1825,False
C301,PCB Module 301,PCB,S001,1.0,18,50,10000,0.6828,0.4279,7400,1095,False
C302,PCB Module 302,PCB,S002,1.45,18,100,10000,0.2596,0.5531,3500,365,False
C303,Connector Module 303,Connector,S003,1.9,12,100,10000,0.4681,0.5782,7800,365,False
C304,PCB Module 304,PCB,S004,2.35,27,250,10000,0.946,0.0713,2600,365,False
C305,Chassis Module 305,Chassis,S005,2.8,3,1000,10000,0.887,0.2368,5300,365,False
C306,Battery Module 306,Battery,S006,3.25,3,250,10000,0.573,0.6537,1600,365,True
C307,Battery Module 307,Battery,S007,3.7,17,500,10000,0.5213,0.4352,2800,365,True
C308,Battery Module 308,Battery,S008,4.15,9,500,10000,0.6535,0.5859,2200,1095,False
C309,Connectivity Module 309,Connectivity,S009,4.6,24,500,10000,0.479,0.1858,5400,1825,False
C310,Connector Module 310,Connector,S010,5.05,17,1000,10000,0.7927,0.5954,6000,365,False
C311,Connectivity Module 311,Connectivity,S011,5.5,28,100,10000,0.4508,0.4218,2500,1825,False
C312,Connector Module 312,Connector,S012,5.95,5,100,10000,0.5692,0.3538,4700,730,False
C313,Camera Module 313,Camera,S013,6.4,15,500,10000,0.6394,0.3611,6200,1095,False
C314,Battery Module 314,Battery,S014,6.85,4,50,10000,0.6282,0.302,4600,365,True
C315,Processor Module 315,Processor,S015,7.3,15,250,10000,0.5579,0.4965,3000,730,False
C316,Processor Module 316,Processor,S016,7.75,23,500,10000,0.4845,0.2491,900,1095,False
C317,Battery Module 317,Battery,S017,8.2,12,500,10000,0.645,0.3666,4100,730,True
C318,Sensor Module 318,Sensor,S018,8.65,16,1000,10000,0.6701,0.3618,6200,1095,False
C319,Connectivity Module 319,Connectivity,S019,9.1,9,50,10000,0.9361,0.3563,6600,730,False
C320,Connector Module 320,Connector,S020,9.55,4,100,10000,0.7234,0.3637,6100,730,False
C321,PCB Module 321,PCB,S021,10.0,21,100,10000,0.4119,0.6329,6600,1825,False
C322,Sensor Module 322,Sensor,S022,10.45,16,50,10000,0.2641,0.3975,7500,730,False
C323,Camera Module 323,Camera,S023,10.9,10,100,10000,0.6808,0.7407,4900,365,False
C324,Connectivity Module 324,Connectivity,S024,11.35,7,50,10000,0.9049,0.5443,2100,1095,False
C325,Connector Module 325,Connector,S025,11.8,21,250,10000,0.6594,0.6409,6500,730,False
C326,Processor Module 326,Processor,S026,12.25,20,100,10000,0.2612,0.3938,2400,365,False
C327,Display Module 327,Display,S027,12.7,24,1000,10000,0.5539,0.1314,7800,730,False
C328,Processor Module 328,Processor,S028,13.15,22,50,10000,0.6103,0.3877,7500,365,False
C329,Memory Module 329,Memory,S029,13.6,17,500,10000,0.4698,0.5602,4500,1095,False
C330,Display Module 330,Display,S030,14.05,26,250,10000,0.5897,0.6087,4300,1825,False
C331,Chassis Module 331,Chassis,S031,14.5,13,100,10000,0.3783,0.3333,6500,1095,False
C332,Camera Module 332,Camera,S032,14.95,26,500,10000,0.8024,0.8215,6200,365,False
C333,Processor Module 333,Processor,S033,15.4,25,250,10000,0.833,0.1195,4200,730,False
C334,Camera Module 334,Camera,S034,15.85,8,500,10000,0.4972,0.2025,900,1095,False
C335,Connector Module 335,Connector,S035,16.3,9,50,10000,0.4076,0.1887,4400,365,False
C336,Chassis Module 336,Chassis,S036,16.75,25,50,10000,0.8349,0.5244,7200,730,False
C337,Camera Module 337,Camera,S037,17.2,5,100,10000,0.6926,0.394,5500,1095,False
C338,Chassis Module 338,Chassis,S038,17.65,3,250,10000,0.587,0.2316,5700,1095,False
C339,Memory Module 339,Memory,S039,18.1,4,50,10000,0.8029,0.4562,7300,730,False
C340,Sensor Module 340,Sensor,S040,18.55,16,50,10000,0.8194,0.2232,5600,730,False
C341,Chassis Module 341,Chassis,S041,19.0,10,1000,10000,0.383,0.5111,3900,1095,False
C342,Display Module 342,Display,S042,19.45,20,100,10000,0.4767,0.6497,5500,1095,False
C343,Display Module 343,Display,S043,19.9,23,50,10000,0.4345,0.2765,2700,730,False
C344,Camera Module 344,Camera,S044,20.35,25,250,10000,0.6074,0.231,2900,1095,False
C345,PCB Module 345,PCB,S045,20.8,5,1000,10000,0.1485,0.1142,6400,1095,False
C346,Memory Module 346,Memory,S046,21.25,13,100,10000,0.3782,0.5169,2200,365,False
C347,Battery Module 347,Battery,S047,21.7,18,250,10000,0.6486,0.1804,6900,730,True
C348,Chassis Module 348,Chassis,S048,22.15,27,1000,10000,0.2987,0.7224,5500,1825,False
C349,Chassis Module 349,Chassis,S049,22.6,16,100,10000,0.7213,0.18,2200,365,False
C350,Memory Module 350,Memory,S050,23.05,3,1000,10000,0.8536,0.6951,8000,1825,False
C351,Camera Module 351,Camera,S051,1.0,4,500,10000,0.4841,0.2522,4200,730,False
C352,Processor Module 352,Processor,S052,1.45,22,1000,10000,0.4225,0.4744,5500,365,False
C353,Chassis Module 353,Chassis,S053,1.9,24,250,10000,0.6318,0.2266,5900,365,False
C354,Connector Module 354,Connector,S054,2.35,12,500,10000,0.6051,0.1438,4000,1095,False
C355,Chassis Module 355,Chassis,S055,2.8,16,500,10000,0.8296,0.2072,5000,1825,False
C356,Memory Module 356,Memory,S056,3.25,18,100,10000,0.7091,0.4995,6600,1095,False
C357,Connectivity Module 357,Connectivity,S057,3.7,12,100,10000,0.4821,0.1387,5500,1825,False
C358,Memory Module 358,Memory,S058,4.15,12,1000,10000,0.0811,0.3966,4300,1825,False
C359,Processor Module 359,Processor,S059,4.6,6,500,10000,0.7566,0.7655,7200,1095,False
C360,Connector Module 360,Connector,S060,5.05,11,250,10000,0.722,0.3773,5300,730,False
C361,Connectivity Module 361,Connectivity,S061,5.5,24,100,10000,0.6658,0.3625,6600,1825,False
C362,Connector Module 362,Connector,S062,5.95,19,100,10000,0.6462,0.3372,4900,365,False
C363,PCB Module 363,PCB,S063,6.4,20,1000,10000,0.6156,0.3103,4000,365,False
C364,Processor Module 364,Processor,S064,6.85,24,1000,10000,0.7726,0.3357,7300,730,False
C365,Memory Module 365,Memory,S065,7.3,16,100,10000,0.6371,0.6121,2800,365,False
C366,Connector Module 366,Connector,S066,7.75,20,500,10000,0.6885,0.5327,3900,1095,False
C367,Connector Module 367,Connector,S067,8.2,18,250,10000,0.4936,0.3707,6000,730,False
C368,Processor Module 368,Processor,S068,8.65,13,100,10000,0.4833,0.7054,3600,1825,False
C369,Memory Module 369,Memory,S069,9.1,9,500,10000,0.5943,0.4675,4000,1095,False
C370,Memory Module 370,Memory,S070,9.55,9,1000,10000,0.819,0.0462,3800,1825,False
C371,Camera Module 371,Camera,S071,10.0,12,500,10000,0.5041,0.4365,4900,1825,False
C372,Connectivity Module 372,Connectivity,S072,10.45,26,100,10000,0.6773,0.1844,6700,730,False
C373,Chassis Module 373,Chassis,S073,10.9,13,250,10000,0.4817,0.2205,3800,1825,False
C374,Connectivity Module 374,Connectivity,S074,11.35,12,100,10000,0.5906,0.6014,800,1825,False
C375,Processor Module 375,Processor,S075,11.8,3,250,10000,0.6489,0.6222,7800,1095,False
C376,Display Module 376,Display,S076,12.25,5,500,10000,0.9805,0.2177,1200,730,False
C377,Camera Module 377,Camera,S077,12.7,11,1000,10000,0.9147,0.112,800,365,False
C378,Processor Module 378,Processor,S078,13.15,10,500,10000,0.5901,0.4772,7200,730,False
C379,Processor Module 379,Processor,S079,13.6,3,250,10000,0.6887,0.2081,4700,365,False
C380,Memory Module 380,Memory,S080,14.05,18,100,10000,0.4167,0.2039,7500,365,False
C381,Sensor Module 381,Sensor,S081,14.5,21,100,10000,0.4272,0.743,1900,365,False
C382,Camera Module 382,Camera,S082,14.95,4,500,10000,0.6216,0.5857,5600,730,False
C383,Camera Module 383,Camera,S083,15.4,10,1000,10000,0.3445,0.7889,3100,730,False
C384,Display Module 384,Display,S084,15.85,17,250,10000,0.3613,0.5991,3500,730,False
C385,PCB Module 385,PCB,S085,16.3,3,100,10000,0.6384,0.4211,5600,1825,False
C386,Connector Module 386,Connector,S086,16.75,13,50,10000,0.7748,0.3468,7100,365,False
C387,PCB Module 387,PCB,S087,17.2,15,500,10000,0.7117,0.1845,6700,730,False
C388,Battery Module 388,Battery,S088,17.65,28,1000,10000,0.4558,0.4021,4800,365,True
C389,Chassis Module 389,Chassis,S089,18.1,18,50,10000,0.4362,0.1183,7700,365,False
C390,Battery Module 390,Battery,S090,18.55,24,1000,10000,0.5211,0.2985,4600,1095,False
C391,Processor Module 391,Processor,S091,19.0,28,500,10000,0.9167,0.5259,1500,1825,False
C392,PCB Module 392,PCB,S092,19.45,26,100,10000,0.3885,0.0564,3500,1095,False
C393,Connector Module 393,Connector,S093,19.9,27,100,10000,0.3254,0.114,5500,730,False
C394,Battery Module 394,Battery,S094,20.35,15,500,10000,0.4687,0.1606,1100,1825,True
C395,PCB Module 395,PCB,S095,20.8,15,250,10000,0.4647,0.3503,2000,365,False
C396,Sensor Module 396,Sensor,S096,21.25,25,1000,10000,0.588,0.737,7900,365,False
C397,Memory Module 397,Memory,S097,21.7,23,100,10000,0.378,0.35,6900,1095,False
C398,Battery Module 398,Battery,S098,22.15,21,250,10000,0.4476,0.4779,2100,1825,False
C399,Battery Module 399,Battery,S099,22.6,18,100,10000,0.6013,0.5377,1300,730,False
C400,Camera Module 400,Camera,S100,23.05,28,50,10000,0.6096,0.6105,2200,365,False
C401,Chassis Module 401,Chassis,S001,1.0,18,50,10000,0.8013,0.684,5000,1825,False
C402,Processor Module 402,Processor,S002,1.45,18,500,10000,0.7101,0.313,4400,1095,False
C403,Display Module 403,Display,S003,1.9,12,100,10000,0.3887,0.0925,5500,1095,False
C404,Connector Module 404,Connector,S004,2.35,27,500,10000,0.3384,0.1241,7300,365,False
C405,Connector Module 405,Connector,S005,2.8,3,500,10000,0.5711,0.6448,7600,1825,False
C406,PCB Module 406,PCB,S006,3.25,3,1000,10000,0.6511,0.2512,7300,365,False
C407,Sensor Module 407,Sensor,S007,3.7,17,500,10000,0.8865,0.1384,6300,365,False
C408,Connector Module 408,Connector,S008,4.15,9,1000,10000,0.3391,0.2741,6800,730,False
C409,Connectivity Module 409,Connectivity,S009,4.6,24,250,10000,0.2685,0.2235,2300,1825,False
C410,Battery Module 410,Battery,S010,5.05,17,1000,10000,0.6271,0.3747,3700,730,False
C411,Memory Module 411,Memory,S011,5.5,28,250,10000,0.4782,0.0127,4100,1095,False
C412,Memory Module 412,Memory,S012,5.95,5,50,10000,0.9325,0.1452,4800,1825,False
C413,Connectivity Module 413,Connectivity,S013,6.4,15,50,10000,0.6508,0.3074,3700,365,False
C414,Camera Module 414,Camera,S014,6.85,4,1000,10000,0.3851,0.149,5600,365,False
C415,Display Module 415,Display,S015,7.3,15,1000,10000,0.6028,0.337,4500,1095,False
C416,Connectivity Module 416,Connectivity,S016,7.75,23,1000,10000,0.8714,0.2982,5500,1825,False
C417,Memory Module 417,Memory,S017,8.2,12,1000,10000,0.801,0.2013,3100,365,False
C418,PCB Module 418,PCB,S018,8.65,16,500,10000,0.6814,0.803,5900,365,False
C419,Sensor Module 419,Sensor,S019,9.1,9,100,10000,0.2996,0.0959,6600,365,False
C420,Chassis Module 420,Chassis,S020,9.55,4,500,10000,0.3103,0.4107,1200,1825,False
C421,Processor Module 421,Processor,S021,10.0,21,50,10000,0.2967,0.2305,3400,730,False
C422,Connector Module 422,Connector,S022,10.45,16,500,10000,0.9352,0.5827,4200,1825,False
C423,Battery Module 423,Battery,S023,10.9,10,100,10000,0.5357,0.4908,800,1095,True
C424,Display Module 424,Display,S024,11.35,7,100,10000,0.6544,0.4193,7600,365,False
C425,Connector Module 425,Connector,S025,11.8,21,100,10000,0.6269,0.2982,6200,365,False
C426,Memory Module 426,Memory,S026,12.25,20,100,10000,0.8079,0.8134,3000,730,False
C427,Connectivity Module 427,Connectivity,S027,12.7,24,500,10000,0.6418,0.6596,2000,730,False
C428,Chassis Module 428,Chassis,S028,13.15,22,1000,10000,0.4138,0.1151,5000,1095,False
C429,PCB Module 429,PCB,S029,13.6,17,250,10000,0.625,0.2996,5100,1095,False
C430,PCB Module 430,PCB,S030,14.05,26,250,10000,0.7717,0.2398,3200,1095,False
C431,Sensor Module 431,Sensor,S031,14.5,13,1000,10000,0.8388,0.5672,7000,1095,False
C432,PCB Module 432,PCB,S032,14.95,26,100,10000,0.6656,0.6664,2300,730,False
C433,Connector Module 433,Connector,S033,15.4,25,1000,10000,0.6227,0.7728,5800,1095,False
C434,Sensor Module 434,Sensor,S034,15.85,8,1000,10000,0.8251,0.1297,1600,365,False
C435,Processor Module 435,Processor,S035,16.3,9,250,10000,0.2142,0.7005,5000,1095,False
C436,Battery Module 436,Battery,S036,16.75,25,500,10000,0.1824,0.4203,4400,1825,True
C437,Display Module 437,Display,S037,17.2,5,100,10000,0.7948,0.7351,1700,365,False
C438,Processor Module 438,Processor,S038,17.65,3,50,10000,0.506,0.5758,3600,1095,False
C439,Memory Module 439,Memory,S039,18.1,4,250,10000,0.8284,0.3174,800,1825,False
C440,Camera Module 440,Camera,S040,18.55,16,250,10000,0.4308,0.2877,3200,365,False
C441,Camera Module 441,Camera,S041,19.0,10,1000,10000,0.8441,0.5814,4900,1825,False
C442,Camera Module 442,Camera,S042,19.45,20,100,10000,0.5506,0.5375,7400,1825,False
C443,Connectivity Module 443,Connectivity,S043,19.9,23,500,10000,0.6118,0.7477,7700,730,False
C444,Display Module 444,Display,S044,20.35,25,1000,10000,0.9551,0.4234,1600,1095,False
C445,Memory Module 445,Memory,S045,20.8,5,100,10000,0.3327,0.32,7000,730,False
C446,Camera Module 446,Camera,S046,21.25,13,500,10000,0.8887,0.105,2400,730,False
C447,Processor Module 447,Processor,S047,21.7,18,50,10000,0.4528,0.7457,6000,1095,False
C448,Battery Module 448,Battery,S048,22.15,27,100,10000,0.3443,0.6481,5900,365,True
C449,Camera Module 449,Camera,S049,22.6,16,50,10000,0.284,0.5854,2600,1825,False
C450,Connectivity Module 450,Connectivity,S050,23.05,3,250,10000,0.4087,0.5801,4500,365,False
C451,Connectivity Module 451,Connectivity,S051,1.0,4,1000,10000,0.8912,0.3846,3000,365,False
C452,Sensor Module 452,Sensor,S052,1.45,22,1000,10000,0.331,0.3213,6300,1095,False
C453,Chassis Module 453,Chassis,S053,1.9,24,500,10000,0.6639,0.7416,7100,730,False
C454,Connectivity Module 454,Connectivity,S054,2.35,12,500,10000,0.5146,0.2547,3200,1095,False
C455,Chassis Module 455,Chassis,S055,2.8,16,250,10000,0.8667,0.2329,2600,1825,False
C456,Camera Module 456,Camera,S056,3.25,18,100,10000,0.5928,0.2865,1200,1825,False
C457,Camera Module 457,Camera,S057,3.7,12,250,10000,0.7758,0.5428,5200,365,False
C458,Sensor Module 458,Sensor,S058,4.15,12,500,10000,0.5783,0.564,6200,1825,False
C459,Processor Module 459,Processor,S059,4.6,6,500,10000,0.8636,0.4822,5300,1825,False
C460,Processor Module 460,Processor,S060,5.05,11,100,10000,0.7882,0.2807,7700,1095,False
C461,Battery Module 461,Battery,S061,5.5,24,1000,10000,0.6927,0.4476,7000,730,True
C462,Battery Module 462,Battery,S062,5.95,19,1000,10000,0.0098,0.0301,6700,730,False
C463,Connectivity Module 463,Connectivity,S063,6.4,20,500,10000,0.8883,0.4189,7200,730,False
C464,Connector Module 464,Connector,S064,6.85,24,1000,10000,0.8968,0.7307,5800,365,False
C465,Display Module 465,Display,S065,7.3,16,50,10000,0.5143,0.6466,3800,1825,False
C466,Chassis Module 466,Chassis,S066,7.75,20,500,10000,0.9471,0.2919,2200,365,False
C467,Processor Module 467,Processor,S067,8.2,18,100,10000,0.5415,0.2155,2400,365,False
C468,Connector Module 468,Connector,S068,8.65,13,100,10000,0.7394,0.1426,1700,730,False
C469,Memory Module 469,Memory,S069,9.1,9,100,10000,0.3775,0.51,6200,1095,False
C470,Sensor Module 470,Sensor,S070,9.55,9,250,10000,0.2645,0.6836,2700,365,False
C471,Memory Module 471,Memory,S071,10.0,12,100,10000,0.8188,0.5287,800,1825,False
C472,Memory Module 472,Memory,S072,10.45,26,1000,10000,0.3083,0.4131,5500,1095,False
C473,Display Module 473,Display,S073,10.9,13,50,10000,0.3439,0.3794,4500,730,False
C474,Connectivity Module 474,Connectivity,S074,11.35,12,500,10000,0.6101,0.4983,6400,365,False
C475,Chassis Module 475,Chassis,S075,11.8,3,50,10000,0.4438,0.2187,1700,730,False
C476,Battery Module 476,Battery,S076,12.25,5,100,10000,0.695,0.4804,7300,365,True
C477,Battery Module 477,Battery,S077,12.7,11,250,10000,0.652,0.3721,4700,365,True
C478,Connectivity Module 478,Connectivity,S078,13.15,10,1000,10000,0.4416,0.5133,6300,1095,False
C479,Connectivity Module 479,Connectivity,S079,13.6,3,250,10000,0.7601,0.5115,4800,1825,False
C480,Camera Module 480,Camera,S080,14.05,18,250,10000,0.6737,0.9397,3100,730,False
C481,Processor Module 481,Processor,S081,14.5,21,500,10000,0.393,0.5003,6300,1825,False
C482,Connectivity Module 482,Connectivity,S082,14.95,4,50,10000,0.4784,0.1439,2600,1095,False
C483,Memory Module 483,Memory,S083,15.4,10,50,10000,0.791,0.5035,4000,730,False
C484,Connectivity Module 484,Connectivity,S084,15.85,17,100,10000,0.5365,0.5545,2300,730,False
C485,Connectivity Module 485,Connectivity,S085,16.3,3,1000,10000,0.4693,0.5891,3100,730,False
C486,Camera Module 486,Camera,S086,16.75,13,500,10000,0.7722,0.5032,6600,1095,False
C487,Processor Module 487,Processor,S087,17.2,15,250,10000,0.8324,0.3125,2800,730,False
C488,Connector Module 488,Connector,S088,17.65,28,1000,10000,0.305,0.0401,8000,730,False
C489,Processor Module 489,Processor,S089,18.1,18,100,10000,0.4559,0.2692,1100,730,False
C490,Connectivity Module 490,Connectivity,S090,18.55,24,100,10000,0.4149,0.6021,4800,1825,False
C491,Chassis Module 491,Chassis,S091,19.0,28,1000,10000,0.8391,0.0701,1200,1095,False
C492,Chassis Module 492,Chassis,S092,19.45,26,500,10000,0.8067,0.3574,5000,730,False
C493,Processor Module 493,Processor,S093,19.9,27,1000,10000,0.7299,0.1939,2000,1825,False
C494,Memory Module 494,Memory,S094,20.35,15,1000,10000,0.1349,0.4434,7600,1825,False
C495,Connectivity Module 495,Connectivity,S095,20.8,15,100,10000,0.6928,0.3379,4100,730,False
C496,Display Module 496,Display,S096,21.25,25,100,10000,0.8189,0.3553,4300,1095,False
C497,PCB Module 497,PCB,S097,21.7,23,1000,10000,0.2171,0.6352,6600,1095,False
C498,Display Module 498,Display,S098,22.15,21,100,10000,0.2528,0.0798,1800,365,False
C499,Memory Module 499,Memory,S099,22.6,18,250,10000,0.6085,0.353,1800,1825,False
C500,Display Module 500,Display,S100,23.05,28,500,10000,0.6492,0.3741,4200,730,False
