inventory_id,factory_id,component_id,quantity_on_hand,reserved_quantity,safety_stock,available_quantity,usable_quantity,snapshot_date,unit_cost_usd
FI001146,F006,C011,56,4,8,52,44,2027-01-01,5.50
FI001147,F006,C012,68,4,8,64,56,2027-01-01,5.95
FI001148,F006,C013,38,4,4,34,30,2027-01-01,6.40
FI001149,F006,C014,26,4,4,22,18,2027-01-01,6.85
FI001150,F006,C015,74,2,4,72,68,2027-01-01,7.30
FI001151,F006,C016,70,0,4,70,66,2027-01-01,7.75
FI001152,F006,C017,84,4,8,80,72,2027-01-01,8.20
FI001153,F006,C018,124,4,8,120,112,2027-01-01,8.65
FI001154,F006,C019,31,2,2,29,27,2027-01-01,9.10
FI001155,F006,C020,132,8,8,124,116,2027-01-01,9.55
FI001156,F006,C021,24,2,4,22,18,2027-01-01,10.00
FI001157,F006,C022,112,8,8,104,96,2027-01-01,10.45
FI001158,F006,C023,160,4,8,156,148,2027-01-01,10.90
FI001159,F006,C024,26,0,4,26,22,2027-01-01,11.35
FI001160,F006,C026,120,0,8,120,112,2027-01-01,12.25
FI001161,F006,C027,28,2,2,26,24,2027-01-01,12.70
FI001162,F006,C028,27,1,2,26,24,2027-01-01,13.15
FI001163,F006,C029,96,8,8,88,80,2027-01-01,13.60
FI001164,F006,C030,68,0,8,68,60,2027-01-01,14.05
FI001165,F006,C033,74,0,4,74,70,2027-01-01,15.40
FI001166,F006,C036,23,2,2,21,19,2027-01-01,16.75
FI001167,F006,C037,152,4,8,148,140,2027-01-01,17.20
FI001168,F006,C038,22,2,2,20,18,2027-01-01,17.65
FI001169,F006,C039,26,1,2,25,23,2027-01-01,18.10
FI001170,F006,C040,33,2,2,31,29,2027-01-01,18.55
FI001171,F006,C041,60,2,4,58,54,2027-01-01,19.00
FI001172,F006,C044,19,2,2,17,15,2027-01-01,20.35
FI001173,F006,C045,160,0,8,160,152,2027-01-01,20.80
FI001174,F006,C047,76,0,4,76,72,2027-01-01,21.70
FI001175,F006,C049,60,4,4,56,52,2027-01-01,22.60
FI001176,F006,C051,42,2,4,40,36,2027-01-01,1.00
FI001177,F006,C052,21,1,2,20,18,2027-01-01,1.45
FI001178,F006,C054,13,0,2,13,11,2027-01-01,2.35
FI001179,F006,C055,33,0,2,33,31,2027-01-01,2.80
FI001180,F006,C062,96,0,8,96,88,2027-01-01,5.95
FI001181,F006,C067,32,1,2,31,29,2027-01-01,8.20
FI001182,F006,C070,37,0,2,37,35,2027-01-01,9.55
FI001183,F006,C071,27,1,2,26,24,2027-01-01,10.00
FI001184,F006,C072,27,0,2,27,25,2027-01-01,10.45
FI001185,F006,C075,64,0,4,64,60,2027-01-01,11.80
FI001186,F006,C076,42,0,4,42,38,2027-01-01,12.25
FI001187,F006,C077,27,1,2,26,24,2027-01-01,12.70
FI001188,F006,C078,15,0,2,15,13,2027-01-01,13.15
FI001189,F006,C079,84,8,8,76,68,2027-01-01,13.60
FI001190,F006,C080,29,0,2,29,27,2027-01-01,14.05
FI001191,F006,C081,34,2,4,32,28,2027-01-01,14.50
FI001192,F006,C083,24,0,2,24,22,2027-01-01,15.40
FI001193,F006,C088,22,1,2,21,19,2027-01-01,17.65
FI001194,F006,C090,22,0,2,22,20,2027-01-01,18.55
FI001195,F006,C091,17,2,2,15,13,2027-01-01,19.00
FI001196,F006,C092,28,0,2,28,26,2027-01-01,19.45
FI001197,F006,C097,14,1,2,13,11,2027-01-01,21.70
FI001198,F006,C100,40,0,4,40,36,2027-01-01,23.05
FI001199,F006,C102,52,4,4,48,44,2027-01-01,1.45
FI001200,F006,C106,24,1,2,23,21,2027-01-01,3.25
FI001201,F006,C107,29,2,2,27,25,2027-01-01,3.70
FI001202,F006,C109,13,2,2,11,9,2027-01-01,4.60
FI001203,F006,C110,30,0,4,30,26,2027-01-01,5.05
FI001204,F006,C114,16,0,2,16,14,2027-01-01,6.85
FI001205,F006,C119,36,2,4,34,30,2027-01-01,9.10
FI001206,F006,C123,64,4,4,60,56,2027-01-01,10.90
FI001207,F006,C130,74,0,4,74,70,2027-01-01,14.05
FI001208,F006,C132,80,2,4,78,74,2027-01-01,14.95
FI001209,F006,C138,36,2,2,34,32,2027-01-01,17.65
FI001210,F006,C139,36,2,2,34,32,2027-01-01,18.10
FI001211,F006,C141,160,4,8,156,148,2027-01-01,19.00
FI001212,F006,C142,36,1,2,35,33,2027-01-01,19.45
FI001213,F006,C143,17,2,2,15,13,2027-01-01,19.90
FI001214,F006,C148,32,4,4,28,24,2027-01-01,22.15
FI001215,F006,C149,21,0,2,21,19,2027-01-01,22.60
FI001216,F006,C150,30,0,4,30,26,2027-01-01,23.05
FI001217,F006,C152,13,1,2,12,10,2027-01-01,1.45
FI001218,F006,C154,16,2,2,14,12,2027-01-01,2.35
FI001219,F006,C158,16,1,2,15,13,2027-01-01,4.15
FI001220,F006,C159,128,0,8,128,120,2027-01-01,4.60
FI001221,F006,C160,15,0,2,15,13,2027-01-01,5.05
FI001222,F006,C161,108,8,8,100,92,2027-01-01,5.50
FI001223,F006,C162,64,2,4,62,58,2027-01-01,5.95
FI001224,F006,C163,52,2,4,50,46,2027-01-01,6.40
FI001225,F006,C170,19,2,2,17,15,2027-01-01,9.55
FI001226,F006,C172,56,2,4,54,50,2027-01-01,10.45
FI001227,F006,C174,30,4,4,26,22,2027-01-01,11.35
FI001228,F006,C175,46,2,4,44,40,2027-01-01,11.80
FI001229,F006,C176,48,8,8,40,32,2027-01-01,12.25
FI001230,F006,C177,17,1,2,16,14,2027-01-01,12.70
FI001231,F006,C178,48,4,4,44,40,2027-01-01,13.15
FI001232,F006,C180,72,2,4,70,66,2027-01-01,14.05
FI001233,F006,C181,56,8,8,48,40,2027-01-01,14.50
FI001234,F006,C186,132,4,8,128,120,2027-01-01,16.75
FI001235,F006,C194,23,2,2,21,19,2027-01-01,20.35
FI001236,F006,C195,80,2,4,78,74,2027-01-01,20.80
FI001237,F006,C199,26,1,2,25,23,2027-01-01,22.60
FI001238,F006,C205,70,0,4,70,66,2027-01-01,2.80
FI001239,F006,C207,12,0,2,12,10,2027-01-01,3.70
FI001240,F006,C212,14,0,2,14,12,2027-01-01,5.95
FI001241,F006,C214,21,1,2,20,18,2027-01-01,6.85
FI001242,F006,C220,50,0,4,50,46,2027-01-01,9.55
FI001243,F006,C222,31,2,2,29,27,2027-01-01,10.45
FI001244,F006,C223,23,0,2,23,21,2027-01-01,10.90
FI001245,F006,C225,112,0,8,112,104,2027-01-01,11.80
FI001246,F006,C228,12,0,2,12,10,2027-01-01,13.15
FI001247,F006,C229,72,4,4,68,64,2027-01-01,13.60
FI001248,F006,C230,12,2,2,10,8,2027-01-01,14.05
FI001249,F006,C231,60,2,4,58,54,2027-01-01,14.50
FI001250,F006,C233,66,0,4,66,62,2027-01-01,15.40
FI001251,F006,C235,35,0,2,35,33,2027-01-01,16.30
FI001252,F006,C237,37,2,2,35,33,2027-01-01,17.20
FI001253,F006,C238,32,0,2,32,30,2027-01-01,17.65
FI001254,F006,C240,23,1,2,22,20,2027-01-01,18.55
FI001255,F006,C241,23,2,2,21,19,2027-01-01,19.00
FI001256,F006,C242,27,2,2,25,23,2027-01-01,19.45
FI001257,F006,C243,36,4,4,32,28,2027-01-01,19.90
FI001258,F006,C244,28,0,2,28,26,2027-01-01,20.35
FI001259,F006,C246,31,1,2,30,28,2027-01-01,21.25
FI001260,F006,C249,108,4,8,104,96,2027-01-01,22.60
FI001261,F006,C252,96,8,8,88,80,2027-01-01,1.45
FI001262,F006,C253,36,0,4,36,32,2027-01-01,1.90
FI001263,F006,C254,38,1,2,37,35,2027-01-01,2.35
FI001264,F006,C259,30,0,2,30,28,2027-01-01,4.60
FI001265,F006,C260,76,2,4,74,70,2027-01-01,5.05
FI001266,F006,C263,56,8,8,48,40,2027-01-01,6.40
FI001267,F006,C266,66,0,4,66,62,2027-01-01,7.75
FI001268,F006,C267,38,2,4,36,32,2027-01-01,8.20
FI001269,F006,C269,54,2,4,52,48,2027-01-01,9.10
FI001270,F006,C270,70,2,4,68,64,2027-01-01,9.55
FI001271,F006,C271,37,0,2,37,35,2027-01-01,10.00
FI001272,F006,C274,36,4,4,32,28,2027-01-01,11.35
FI001273,F006,C277,20,0,2,20,18,2027-01-01,12.70
FI001274,F006,C278,29,0,2,29,27,2027-01-01,13.15
FI001275,F006,C280,64,8,8,56,48,2027-01-01,14.05
FI001276,F006,C281,26,2,4,24,20,2027-01-01,14.50
FI001277,F006,C287,17,1,2,16,14,2027-01-01,17.20
FI001278,F006,C291,32,0,2,32,30,2027-01-01,19.00
FI001279,F006,C293,68,8,8,60,52,2027-01-01,19.90
FI001280,F006,C294,46,2,4,44,40,2027-01-01,20.35
FI001281,F006,C296,17,2,2,15,13,2027-01-01,21.25
FI001282,F006,C301,42,4,4,38,34,2027-01-01,1.00
FI001283,F006,C302,40,2,2,38,36,2027-01-01,1.45
FI001284,F006,C304,39,2,2,37,35,2027-01-01,2.35
FI001285,F006,C308,26,4,4,22,18,2027-01-01,4.15
FI001286,F006,C311,19,2,2,17,15,2027-01-01,5.50
FI001287,F006,C313,42,2,4,40,36,2027-01-01,6.40
FI001288,F006,C316,24,2,2,22,20,2027-01-01,7.75
FI001289,F006,C317,60,4,8,56,48,2027-01-01,8.20
FI001290,F006,C320,24,0,4,24,20,2027-01-01,9.55
FI001291,F006,C322,28,0,2,28,26,2027-01-01,10.45
FI001292,F006,C323,48,4,4,44,40,2027-01-01,10.90
FI001293,F006,C325,13,0,2,13,11,2027-01-01,11.80
FI001294,F006,C326,136,8,8,128,120,2027-01-01,12.25
FI001295,F006,C328,36,2,2,34,32,2027-01-01,13.15
FI001296,F006,C329,160,4,8,156,148,2027-01-01,13.60
FI001297,F006,C331,40,0,4,40,36,2027-01-01,14.50
FI001298,F006,C336,20,1,2,19,17,2027-01-01,16.75
FI001299,F006,C338,32,0,4,32,28,2027-01-01,17.65
FI001300,F006,C341,32,2,2,30,28,2027-01-01,19.00
FI001301,F006,C344,32,1,2,31,29,2027-01-01,20.35
FI001302,F006,C346,152,0,8,152,144,2027-01-01,21.25
FI001303,F006,C347,12,1,2,11,9,2027-01-01,21.70
FI001304,F006,C348,132,4,8,128,120,2027-01-01,22.15
FI001305,F006,C349,96,4,8,92,84,2027-01-01,22.60
FI001306,F006,C351,38,4,4,34,30,2027-01-01,1.00
FI001307,F006,C356,30,0,2,30,28,2027-01-01,3.25
FI001308,F006,C357,68,4,4,64,60,2027-01-01,3.70
FI001309,F006,C358,34,2,4,32,28,2027-01-01,4.15
FI001310,F006,C361,52,4,8,48,40,2027-01-01,5.50
FI001311,F006,C362,28,4,4,24,20,2027-01-01,5.95
FI001312,F006,C363,38,0,2,38,36,2027-01-01,6.40
FI001313,F006,C364,124,8,8,116,108,2027-01-01,6.85
FI001314,F006,C366,64,0,8,64,56,2027-01-01,7.75
FI001315,F006,C372,38,0,2,38,36,2027-01-01,10.45
FI001316,F006,C375,0,0,0,0,0,2027-01-01,11.80
FI001317,F006,C377,148,4,8,144,136,2027-01-01,12.70
FI001318,F006,C379,19,0,2,19,17,2027-01-01,13.60
FI001319,F006,C381,34,1,2,33,31,2027-01-01,14.50
FI001320,F006,C382,42,4,4,38,34,2027-01-01,14.95
FI001321,F006,C388,42,2,4,40,36,2027-01-01,17.65
FI001322,F006,C390,24,0,4,24,20,2027-01-01,18.55
FI001323,F006,C396,38,0,2,38,36,2027-01-01,21.25
FI001324,F006,C398,58,0,4,58,54,2027-01-01,22.15
FI001325,F006,C399,34,1,2,33,31,2027-01-01,22.60
FI001326,F006,C400,56,0,8,56,48,2027-01-01,23.05
FI001327,F006,C404,18,1,2,17,15,2027-01-01,2.35
FI001328,F006,C405,21,1,2,20,18,2027-01-01,2.80
FI001329,F006,C406,78,4,4,74,70,2027-01-01,3.25
FI001330,F006,C412,52,0,4,52,48,2027-01-01,5.95
FI001331,F006,C413,76,0,4,76,72,2027-01-01,6.40
FI001332,F006,C419,39,1,2,38,36,2027-01-01,9.10
FI001333,F006,C420,24,0,4,24,20,2027-01-01,9.55
FI001334,F006,C426,33,0,2,33,31,2027-01-01,12.25
FI001335,F006,C432,76,0,4,76,72,2027-01-01,14.95
FI001336,F006,C434,25,1,2,24,22,2027-01-01,15.85
FI001337,F006,C437,100,8,8,92,84,2027-01-01,17.20
FI001338,F006,C440,80,0,8,80,72,2027-01-01,18.55
FI001339,F006,C441,34,4,4,30,26,2027-01-01,19.00
FI001340,F006,C443,19,0,2,19,17,2027-01-01,19.90
FI001341,F006,C444,30,4,4,26,22,2027-01-01,20.35
FI001342,F006,C445,52,0,8,52,44,2027-01-01,20.80
FI001343,F006,C446,36,0,2,36,34,2027-01-01,21.25
FI001344,F006,C448,76,4,8,72,64,2027-01-01,22.15
FI001345,F006,C449,74,2,4,72,68,2027-01-01,22.60
FI001346,F006,C451,15,0,2,15,13,2027-01-01,1.00
FI001347,F006,C455,38,2,4,36,32,2027-01-01,2.80
FI001348,F006,C456,66,2,4,64,60,2027-01-01,3.25
FI001349,F006,C457,14,2,2,12,10,2027-01-01,3.70
FI001350,F006,C459,23,2,2,21,19,2027-01-01,4.60
FI001351,F006,C463,34,2,4,32,28,2027-01-01,6.40
FI001352,F006,C464,56,4,8,52,44,2027-01-01,6.85
FI001353,F006,C468,78,2,4,76,72,2027-01-01,8.65
FI001354,F006,C471,50,4,4,46,42,2027-01-01,10.00
FI001355,F006,C472,0,0,0,0,0,2027-01-01,10.45
FI001356,F006,C474,32,0,2,32,30,2027-01-01,11.35
FI001357,F006,C479,36,0,2,36,34,2027-01-01,13.60
FI001358,F006,C485,25,0,2,25,23,2027-01-01,16.30
FI001359,F006,C486,26,4,4,22,18,2027-01-01,16.75
FI001360,F006,C488,68,2,4,66,62,2027-01-01,17.65
FI001361,F006,C489,24,0,2,24,22,2027-01-01,18.10
FI001362,F006,C490,56,0,8,56,48,2027-01-01,18.55
FI001363,F006,C496,62,4,4,58,54,2027-01-01,21.25
FI001364,F006,C500,34,2,2,32,30,2027-01-01,23.05
FI001365,F007,C001,74,2,4,72,68,2027-01-01,1.00
FI001366,F007,C002,160,8,8,152,144,2027-01-01,1.45
FI001367,F007,C003,144,0,8,144,136,2027-01-01,1.90
FI001368,F007,C004,60,8,8,52,44,2027-01-01,2.35
FI001369,F007,C005,56,0,4,56,52,2027-01-01,2.80
FI001370,F007,C006,42,0,4,42,38,2027-01-01,3.25
FI001371,F007,C007,66,2,4,64,60,2027-01-01,3.70
FI001372,F007,C008,148,4,8,144,136,2027-01-01,4.15
FI001373,F007,C009,48,0,8,48,40,2027-01-01,4.60
FI001374,F007,C010,64,0,4,64,60,2027-01-01,5.05
FI001375,F007,C011,56,0,4,56,52,2027-01-01,5.50
FI001376,F007,C012,128,0,8,128,120,2027-01-01,5.95
FI001377,F007,C013,30,4,4,26,22,2027-01-01,6.40
FI001378,F007,C014,136,8,8,128,120,2027-01-01,6.85
FI001379,F007,C015,92,0,8,92,84,2027-01-01,7.30
FI001380,F007,C016,72,8,8,64,56,2027-01-01,7.75
FI001381,F007,C017,66,2,4,64,60,2027-01-01,8.20
FI001382,F007,C018,116,0,8,116,108,2027-01-01,8.65
FI001383,F007,C019,100,0,8,100,92,2027-01-01,9.10
FI001384,F007,C020,116,0,8,116,108,2027-01-01,9.55
FI001385,F007,C021,68,2,4,66,62,2027-01-01,10.00
FI001386,F007,C022,50,0,4,50,46,2027-01-01,10.45
FI001387,F007,C023,116,0,8,116,108,2027-01-01,10.90
FI001388,F007,C024,54,0,4,54,50,2027-01-01,11.35
FI001389,F007,C027,128,4,8,124,116,2027-01-01,12.70
FI001390,F007,C029,24,2,2,22,20,2027-01-01,13.60
FI001391,F007,C030,104,8,8,96,88,2027-01-01,14.05
FI001392,F007,C031,56,4,8,52,44,2027-01-01,14.50
FI001393,F007,C032,32,2,2,30,28,2027-01-01,14.95
FI001394,F007,C033,120,8,8,112,104,2027-01-01,15.40
FI001395,F007,C034,24,2,2,22,20,2027-01-01,15.85
FI001396,F007,C035,80,8,8,72,64,2027-01-01,16.30
FI001397,F007,C036,80,0,8,80,72,2027-01-01,16.75
FI001398,F007,C037,48,8,8,40,32,2027-01-01,17.20
FI001399,F007,C038,26,2,2,24,22,2027-01-01,17.65
FI001400,F007,C039,39,1,2,38,36,2027-01-01,18.10
FI001401,F007,C044,19,2,2,17,15,2027-01-01,20.35
FI001402,F007,C045,72,8,8,64,56,2027-01-01,20.80
FI001403,F007,C047,25,0,2,25,23,2027-01-01,21.70
FI001404,F007,C049,160,0,8,160,152,2027-01-01,22.60
FI001405,F007,C053,35,2,2,33,31,2027-01-01,1.90
FI001406,F007,C054,88,4,8,84,76,2027-01-01,2.35
FI001407,F007,C058,78,4,4,74,70,2027-01-01,4.15
FI001408,F007,C061,120,0,8,120,112,2027-01-01,5.50
FI001409,F007,C064,70,2,4,68,64,2027-01-01,6.85
FI001410,F007,C065,80,4,4,76,72,2027-01-01,7.30
FI001411,F007,C066,36,2,2,34,32,2027-01-01,7.75
FI001412,F007,C070,26,4,4,22,18,2027-01-01,9.55
FI001413,F007,C071,18,2,2,16,14,2027-01-01,10.00
FI001414,F007,C073,13,2,2,11,9,2027-01-01,10.90
FI001415,F007,C074,30,2,2,28,26,2027-01-01,11.35
FI001416,F007,C076,34,2,4,32,28,2027-01-01,12.25
FI001417,F007,C078,128,0,8,128,120,2027-01-01,13.15
FI001418,F007,C081,52,0,4,52,48,2027-01-01,14.50
FI001419,F007,C086,17,2,2,15,13,2027-01-01,16.75
FI001420,F007,C089,72,0,4,72,68,2027-01-01,18.10
FI001421,F007,C091,26,0,4,26,22,2027-01-01,19.00
FI001422,F007,C095,46,4,4,42,38,2027-01-01,20.80
FI001423,F007,C096,13,2,2,11,9,2027-01-01,21.25
FI001424,F007,C097,132,4,8,128,120,2027-01-01,21.70
FI001425,F007,C099,70,0,4,70,66,2027-01-01,22.60
FI001426,F007,C100,38,4,4,34,30,2027-01-01,23.05
FI001427,F007,C101,15,0,2,15,13,2027-01-01,1.00
FI001428,F007,C102,136,4,8,132,124,2027-01-01,1.45
FI001429,F007,C105,26,4,4,22,18,2027-01-01,2.80
FI001430,F007,C106,40,2,2,38,36,2027-01-01,3.25
FI001431,F007,C108,15,2,2,13,11,2027-01-01,4.15
FI001432,F007,C112,78,4,4,74,70,2027-01-01,5.95
FI001433,F007,C114,0,0,0,0,0,2027-01-01,6.85
FI001434,F007,C116,34,1,2,33,31,2027-01-01,7.75
FI001435,F007,C118,68,4,4,64,60,2027-01-01,8.65
FI001436,F007,C121,100,4,8,96,88,2027-01-01,10.00
FI001437,F007,C122,136,8,8,128,120,2027-01-01,10.45
FI001438,F007,C123,39,1,2,38,36,2027-01-01,10.90
FI001439,F007,C124,22,1,2,21,19,2027-01-01,11.35
FI001440,F007,C128,18,0,2,18,16,2027-01-01,13.15
FI001441,F007,C131,22,0,2,22,20,2027-01-01,14.50
FI001442,F007,C134,70,0,4,70,66,2027-01-01,15.85
FI001443,F007,C135,38,2,2,36,34,2027-01-01,16.30
FI001444,F007,C136,39,1,2,38,36,2027-01-01,16.75
FI001445,F007,C137,56,8,8,48,40,2027-01-01,17.20
FI001446,F007,C138,16,0,2,16,14,2027-01-01,17.65
FI001447,F007,C139,37,0,2,37,35,2027-01-01,18.10
FI001448,F007,C140,28,4,4,24,20,2027-01-01,18.55
FI001449,F007,C141,19,0,2,19,17,2027-01-01,19.00
FI001450,F007,C142,88,0,8,88,80,2027-01-01,19.45
FI001451,F007,C144,148,0,8,148,140,2027-01-01,20.35
FI001452,F007,C145,37,2,2,35,33,2027-01-01,20.80
FI001453,F007,C146,20,2,2,18,16,2027-01-01,21.25
FI001454,F007,C147,160,0,8,160,152,2027-01-01,21.70
FI001455,F007,C148,18,2,2,16,14,2027-01-01,22.15
FI001456,F007,C149,132,4,8,128,120,2027-01-01,22.60
FI001457,F007,C151,0,0,0,0,0,2027-01-01,1.00
FI001458,F007,C152,70,0,4,70,66,2027-01-01,1.45
FI001459,F007,C153,32,1,2,31,29,2027-01-01,1.90
FI001460,F007,C155,12,1,2,11,9,2027-01-01,2.80
FI001461,F007,C159,64,2,4,62,58,2027-01-01,4.60
FI001462,F007,C160,39,1,2,38,36,2027-01-01,5.05
FI001463,F007,C163,37,2,2,35,33,2027-01-01,6.40
FI001464,F007,C166,60,0,8,60,52,2027-01-01,7.75
FI001465,F007,C169,37,2,2,35,33,2027-01-01,9.10
FI001466,F007,C171,18,0,2,18,16,2027-01-01,10.00
FI001467,F007,C172,0,0,0,0,0,2027-01-01,10.45
FI001468,F007,C177,21,2,2,19,17,2027-01-01,12.70
FI001469,F007,C180,76,0,4,76,72,2027-01-01,14.05
FI001470,F007,C181,76,0,8,76,68,2027-01-01,14.50
FI001471,F007,C183,38,0,2,38,36,2027-01-01,15.40
FI001472,F007,C184,24,0,2,24,22,2027-01-01,15.85
FI001473,F007,C189,33,0,2,33,31,2027-01-01,18.10
FI001474,F007,C191,20,2,2,18,16,2027-01-01,19.00
FI001475,F007,C193,33,0,2,33,31,2027-01-01,19.90
FI001476,F007,C194,24,4,4,20,16,2027-01-01,20.35
FI001477,F007,C201,34,2,2,32,30,2027-01-01,1.00
FI001478,F007,C202,17,0,2,17,15,2027-01-01,1.45
FI001479,F007,C204,26,2,2,24,22,2027-01-01,2.35
FI001480,F007,C206,60,0,4,60,56,2027-01-01,3.25
FI001481,F007,C208,16,1,2,15,13,2027-01-01,4.15
FI001482,F007,C214,44,4,4,40,36,2027-01-01,6.85
FI001483,F007,C215,78,4,4,74,70,2027-01-01,7.30
FI001484,F007,C218,34,2,2,32,30,2027-01-01,8.65
FI001485,F007,C221,16,2,2,14,12,2027-01-01,10.00
FI001486,F007,C222,156,0,8,156,148,2027-01-01,10.45
FI001487,F007,C223,30,0,2,30,28,2027-01-01,10.90
FI001488,F007,C224,152,4,8,148,140,2027-01-01,11.35
FI001489,F007,C229,38,2,4,36,32,2027-01-01,13.60
FI001490,F007,C231,29,0,2,29,27,2027-01-01,14.50
FI001491,F007,C232,72,4,4,68,64,2027-01-01,14.95
FI001492,F007,C235,39,1,2,38,36,2027-01-01,16.30
FI001493,F007,C237,72,2,4,70,66,2027-01-01,17.20
FI001494,F007,C238,112,4,8,108,100,2027-01-01,17.65
FI001495,F007,C241,29,1,2,28,26,2027-01-01,19.00
FI001496,F007,C243,38,0,4,38,34,2027-01-01,19.90
FI001497,F007,C244,19,1,2,18,16,2027-01-01,20.35
FI001498,F007,C246,36,4,4,32,28,2027-01-01,21.25
FI001499,F007,C251,33,0,2,33,31,2027-01-01,1.00
FI001500,F007,C252,32,2,4,30,26,2027-01-01,1.45
FI001501,F007,C254,68,2,4,66,62,2027-01-01,2.35
FI001502,F007,C255,54,0,4,54,50,2027-01-01,2.80
FI001503,F007,C256,21,0,2,21,19,2027-01-01,3.25
FI001504,F007,C257,0,0,0,0,0,2027-01-01,3.70
FI001505,F007,C260,78,4,4,74,70,2027-01-01,5.05
FI001506,F007,C261,58,4,4,54,50,2027-01-01,5.50
FI001507,F007,C263,64,0,4,64,60,2027-01-01,6.40
FI001508,F007,C265,35,2,2,33,31,2027-01-01,7.30
FI001509,F007,C266,34,2,2,32,30,2027-01-01,7.75
FI001510,F007,C267,64,2,4,62,58,2027-01-01,8.20
FI001511,F007,C269,36,0,2,36,34,2027-01-01,9.10
FI001512,F007,C270,48,4,4,44,40,2027-01-01,9.55
FI001513,F007,C271,54,0,4,54,50,2027-01-01,10.00
FI001514,F007,C273,38,1,2,37,35,2027-01-01,10.90
FI001515,F007,C274,36,1,2,35,33,2027-01-01,11.35
FI001516,F007,C277,64,0,4,64,60,2027-01-01,12.70
FI001517,F007,C279,100,4,8,96,88,2027-01-01,13.60
FI001518,F007,C282,56,2,4,54,50,2027-01-01,14.95
FI001519,F007,C288,30,0,2,30,28,2027-01-01,17.65
FI001520,F007,C290,37,1,2,36,34,2027-01-01,18.55
FI001521,F007,C294,37,2,2,35,33,2027-01-01,20.35
FI001522,F007,C296,140,4,8,136,128,2027-01-01,21.25
FI001523,F007,C301,23,0,2,23,21,2027-01-01,1.00
FI001524,F007,C304,37,1,2,36,34,2027-01-01,2.35
FI001525,F007,C308,12,0,2,12,10,2027-01-01,4.15
FI001526,F007,C309,50,2,4,48,44,2027-01-01,4.60
FI001527,F007,C310,33,2,2,31,29,2027-01-01,5.05
FI001528,F007,C311,30,0,2,30,28,2027-01-01,5.50
FI001529,F007,C313,62,2,4,60,56,2027-01-01,6.40
FI001530,F007,C330,36,0,4,36,32,2027-01-01,14.05
FI001531,F007,C331,0,0,0,0,0,2027-01-01,14.50
FI001532,F007,C334,13,0,2,13,11,2027-01-01,15.85
FI001533,F007,C336,28,1,2,27,25,2027-01-01,16.75
FI001534,F007,C338,40,2,4,38,34,2027-01-01,17.65
FI001535,F007,C344,136,0,8,136,128,2027-01-01,20.35
FI001536,F007,C346,25,1,2,24,22,2027-01-01,21.25
FI001537,F007,C350,80,4,8,76,68,2027-01-01,23.05
FI001538,F007,C352,19,1,2,18,16,2027-01-01,1.45
FI001539,F007,C355,18,1,2,17,15,2027-01-01,2.80
FI001540,F007,C357,46,0,4,46,42,2027-01-01,3.70
FI001541,F007,C358,34,4,4,30,26,2027-01-01,4.15
FI001542,F007,C359,0,0,0,0,0,2027-01-01,4.60
FI001543,F007,C361,124,4,8,120,112,2027-01-01,5.50
FI001544,F007,C364,78,0,4,78,74,2027-01-01,6.85
FI001545,F007,C367,52,4,4,48,44,2027-01-01,8.20
FI001546,F007,C377,25,2,2,23,21,2027-01-01,12.70
FI001547,F007,C378,22,0,2,22,20,2027-01-01,13.15
FI001548,F007,C380,22,2,2,20,18,2027-01-01,14.05
FI001549,F007,C381,16,0,2,16,14,2027-01-01,14.50
FI001550,F007,C383,80,2,4,78,74,2027-01-01,15.40
FI001551,F007,C384,26,2,2,24,22,2027-01-01,15.85
FI001552,F007,C385,66,4,4,62,58,2027-01-01,16.30
FI001553,F007,C388,42,0,4,42,38,2027-01-01,17.65
FI001554,F007,C390,76,0,4,76,72,2027-01-01,18.55
FI001555,F007,C394,52,4,4,48,44,2027-01-01,20.35
FI001556,F007,C395,124,8,8,116,108,2027-01-01,20.80
FI001557,F007,C396,60,0,8,60,52,2027-01-01,21.25
FI001558,F007,C397,76,0,8,76,68,2027-01-01,21.70
FI001559,F007,C407,13,0,2,13,11,2027-01-01,3.70
FI001560,F007,C408,160,0,8,160,152,2027-01-01,4.15
FI001561,F007,C412,160,4,8,156,148,2027-01-01,5.95
FI001562,F007,C419,28,2,4,26,22,2027-01-01,9.10
FI001563,F007,C420,80,4,4,76,72,2027-01-01,9.55
FI001564,F007,C422,112,8,8,104,96,2027-01-01,10.45
FI001565,F007,C427,156,4,8,152,144,2027-01-01,12.70
FI001566,F007,C429,68,2,4,66,62,2027-01-01,13.60
FI001567,F007,C432,23,2,2,21,19,2027-01-01,14.95
FI001568,F007,C433,33,1,2,32,30,2027-01-01,15.40
FI001569,F007,C435,36,2,4,34,30,2027-01-01,16.30
FI001570,F007,C436,46,0,4,46,42,2027-01-01,16.75
FI001571,F007,C444,29,0,2,29,27,2027-01-01,20.35
FI001572,F007,C445,37,2,2,35,33,2027-01-01,20.80
FI001573,F007,C447,37,1,2,36,34,2027-01-01,21.70
FI001574,F007,C448,96,8,8,88,80,2027-01-01,22.15
FI001575,F007,C451,18,1,2,17,15,2027-01-01,1.00
FI001576,F007,C453,48,0,8,48,40,2027-01-01,1.90
FI001577,F007,C455,38,2,4,36,32,2027-01-01,2.80
FI001578,F007,C456,36,1,2,35,33,2027-01-01,3.25
FI001579,F007,C458,18,1,2,17,15,2027-01-01,4.15
FI001580,F007,C459,62,4,4,58,54,2027-01-01,4.60
